Document,Lines,Words,Chars,Heading 1,Heading 2,Heading 3,Heading 4,Heading 5,Heading 6,Nb nodes,MdDocument,MdBlockQuote,MdIndentedCodeBlock,MdFencedCodeBlock,MdHeading,MdHtmlBlock,MdUnorderedList,MdOrderedList,MdListItem,MdParagraph,MdThematicBreak,MdSoftLineBreak,MdHardLineBreak,MdCode,MdEmphasis,MdStrongEmphasis,MdLink,MdImage,MdText,MdStrike,MdSuper,MdMaths,MdWikilink,LOC,avg
readmes.out/most_stared/vuejs/awesome-vue.md,2366,20538,215054,3,11,99,34,1,6,9636,1,1,0,0,154,2,167,0,1754,1803,0,4,0,32,51,53,1901,3,3710,0,0,0,0,0,0.0
readmes.out/most_stared/mtdvio/every-programmer-should-know.md,216,909,14770,1,0,28,0,0,0,790,1,0,0,0,29,0,28,0,136,142,1,1,6,0,3,0,143,0,300,0,0,0,0,0,0.0
readmes.out/most_stared/danistefanovic/build-your-own-x.md,383,2181,34380,1,4,0,25,0,0,2366,1,0,0,0,30,0,26,0,288,292,0,1,0,24,263,264,292,2,883,0,0,0,0,0,0.0
readmes.out/most_stared/GoogleChrome/puppeteer.md,305,1644,14061,2,5,2,9,0,2,427,1,1,4,10,20,13,5,2,23,74,0,9,0,28,1,10,37,4,183,0,0,0,0,80,5.0
readmes.out/most_stared/nwjs/nw.js.md,110,486,4916,0,9,1,0,0,0,231,1,0,0,3,10,0,4,0,17,35,0,4,7,13,2,4,26,1,104,0,0,0,0,19,6.0
readmes.out/most_stared/ReactiveX/RxJava.md,600,3650,29919,1,8,13,22,0,0,978,1,0,1,33,44,0,6,0,27,115,0,24,0,178,1,26,38,3,452,0,0,0,0,208,6.0
readmes.out/most_stared/impress/impress.js.md,127,892,7380,1,7,6,0,0,0,271,1,0,2,0,14,0,5,0,17,46,0,2,0,11,0,3,40,1,129,0,0,0,0,7,3.0
readmes.out/most_stared/josephmisiti/awesome-machine-learning.md,1377,12399,128911,1,31,9,71,0,0,5304,1,0,0,0,112,2,115,0,940,1048,0,17,0,4,1,2,948,1,1903,0,0,0,0,0,0.0
readmes.out/most_stared/x64dbg/x64dbg.md,134,378,5961,1,11,0,0,0,0,442,1,0,0,0,12,0,5,0,88,97,0,0,0,1,8,0,62,9,159,0,0,0,0,0,0.0
readmes.out/most_stared/Dogfalo/materialize.md,92,380,4298,0,8,2,0,0,0,186,1,0,0,1,10,3,3,0,19,29,0,0,0,9,0,0,26,0,85,0,0,0,0,4,4.0
readmes.out/most_stared/requests/requests.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/ossu/computer-science.md,538,3087,30112,6,8,14,2,0,0,1430,1,1,0,0,30,1,21,1,87,146,1,246,0,132,15,45,152,4,539,0,0,0,0,0,0.0
readmes.out/most_stared/lodash/lodash.md,81,209,3133,1,4,0,0,0,0,156,1,0,0,4,5,0,3,0,10,20,0,10,0,0,0,1,28,1,70,0,0,0,0,24,6.0
readmes.out/most_stared/bitcoin/bitcoin.md,77,377,3351,1,5,2,0,0,0,134,1,0,0,0,8,0,0,0,0,16,0,23,0,3,0,1,12,1,69,0,0,0,0,0,0.0
readmes.out/most_stared/typicode/json-server.md,590,2060,15390,1,7,25,7,0,0,662,1,0,0,43,40,4,13,0,67,120,0,1,0,53,2,7,72,2,237,0,0,0,0,234,5.0
readmes.out/most_stared/yarnpkg/yarn.md,60,313,3163,0,6,0,0,0,0,103,1,0,0,0,6,3,2,0,9,18,1,0,0,0,0,9,9,0,45,0,0,0,0,0,0.0
readmes.out/most_stared/avelino/awesome-go.md,1926,17594,176996,3,63,9,3,0,0,8377,1,0,0,0,78,0,90,0,1568,1629,0,0,0,30,58,2,1623,3,3295,0,0,0,0,0,0.0
readmes.out/most_stared/elastic/elasticsearch.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/NARKOZ/hacker-scripts.md,60,421,3307,1,2,0,0,0,0,68,1,8,0,2,3,0,0,0,0,13,1,2,1,6,1,0,5,0,25,0,0,0,0,20,10.0
readmes.out/most_stared/necolas/normalize.css.md,103,299,3212,1,4,0,6,0,0,174,1,1,0,1,11,0,2,0,11,27,0,16,0,21,0,3,7,4,66,0,0,0,0,2,2.0
readmes.out/most_stared/AFNetworking/AFNetworking.md,323,1666,14626,0,10,9,10,0,0,393,1,2,3,15,29,1,11,0,31,60,4,11,0,31,2,5,29,6,152,0,0,0,0,118,6.0
readmes.out/most_stared/ReactTraining/react-router.md,46,1281,5544,0,3,0,0,0,0,120,1,0,0,0,3,4,0,0,0,7,0,6,0,6,0,1,28,13,51,0,0,0,0,0,0.0
readmes.out/most_stared/ansible/ansible.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/keras-team/keras.md,187,976,8522,0,7,0,0,0,0,277,1,1,0,12,7,0,8,0,19,50,7,1,0,6,6,10,25,3,121,0,0,0,0,34,2.0
readmes.out/most_stared/wasabeef/awesome-android-ui.md,380,2507,54471,19,3,0,0,0,0,2482,1,0,0,0,22,0,2,0,20,41,0,274,1,1,2,0,525,29,1216,0,0,0,0,0,0.0
readmes.out/most_stared/papers-we-love/papers-we-love.md,122,486,7916,0,3,5,0,0,0,408,1,0,0,0,8,0,4,0,78,90,0,0,0,0,4,1,89,1,132,0,0,0,0,0,0.0
readmes.out/most_stared/google/material-design-lite.md,90,468,4006,1,5,2,0,0,0,145,1,5,0,2,8,0,0,0,0,18,0,26,0,3,0,1,13,5,63,0,0,0,0,7,3.0
readmes.out/most_stared/firehol/netdata.md,371,1511,14895,1,9,0,0,0,0,962,1,2,0,0,10,1,7,0,113,140,8,100,0,10,6,118,24,21,334,0,0,0,0,0,0.0
readmes.out/most_stared/ant-design/ant-design.md,106,226,4687,1,10,1,0,0,0,199,1,0,0,4,12,1,3,0,21,33,0,7,0,0,0,0,36,10,71,0,0,0,0,12,3.0
readmes.out/most_stared/adam-p/markdown-here.md,255,1669,14275,1,10,15,6,0,0,543,1,0,0,3,32,1,7,3,37,85,1,13,0,14,14,15,42,5,233,0,0,0,0,11,3.0
readmes.out/most_stared/antirez/redis.md,447,3178,20544,1,20,0,0,0,0,802,1,0,17,0,21,0,12,1,48,117,0,111,0,119,8,0,4,0,343,0,0,0,0,69,4.0
readmes.out/most_stared/gulpjs/gulp.md,316,1128,9272,0,9,0,0,0,0,208,1,0,0,7,9,1,5,0,13,31,0,4,0,11,0,8,19,10,89,0,0,0,0,193,27.0
readmes.out/most_stared/flutter/flutter.md,170,778,6670,1,5,4,0,0,0,309,1,0,0,2,10,1,12,0,37,51,0,31,0,0,0,9,15,5,114,0,0,0,0,42,21.0
readmes.out/most_stared/adobe/brackets.md,119,722,6517,0,4,0,8,0,0,287,1,0,0,0,12,0,3,0,12,28,1,40,0,1,3,9,32,2,143,0,0,0,0,0,0.0
readmes.out/most_stared/scikit-learn/scikit-learn.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/rust-lang/rust.md,245,1245,8352,1,7,3,3,0,0,376,1,1,0,8,14,0,5,3,22,49,0,47,0,41,1,1,19,0,164,0,0,0,0,35,4.0
