mentity,kind,stereotype,id,,,
core::Pattern::search_all_in,MMethod,collaborational,prop_collaborational,,,
core::Pattern::split_in,MMethod,collaborational,prop_collaborational,,,
markdown::Decorator::add_abbr,MMethod,collaborational,prop_collaborational,,,
markdown::Decorator::add_char,MMethod,collaborational,prop_collaborational,,,
markdown::Decorator::add_em,MMethod,collaborational,prop_collaborational,,,
markdown::Decorator::add_line_break,MMethod,collaborational,prop_collaborational,,,
markdown::Decorator::add_strike,MMethod,collaborational,prop_collaborational,,,
markdown::Decorator::add_link,MMethod,collaborational,prop_collaborational,,,
markdown::Decorator::headlines,MMethod,accessor,prop_accessor,,,
markdown::Decorator::add_blockquote,MMethod,collaborational,prop_collaborational,,,
markdown::Decorator::escape_char,MMethod,collaborational,prop_collaborational,,,
socket::NativeSocketAddrIn::new,MMethod,creational,prop_creational,,,
socket::NativeSocketAddrIn::address,MMethod,accessor,prop_accessor,,,
socket::NativeSocketAddrIn::address_broadcast,MMethod,accessor,prop_accessor,,,
socket::NativeSocketAddrIn::port,MMethod,accessor,prop_accessor,,,
socket::NativeSocketAddrIn::port=,MMethod,mutator,prop_mutator,,,
socket::NativeSocketAddrIn::family,MMethod,accessor,prop_accessor,,,
socket::NativeSocketAddrIn::family=,MMethod,mutator,prop_mutator,,,
socket::NativeSocketAddrIn::nul,MMethod,creational,prop_creational,,,
socket::NativeSocketAddrIn::address_any,MMethod,collaborational,prop_collaborational,,,
socket::NativeSocketAddrIn::fill_from_hostent,MMethod,collaborational,prop_collaborational,,,
ios::UILabel::text,MMethod,accessor,prop_accessor,,,
ios::UILabel::text=,MMethod,mutator,prop_mutator,,,
ios::UILabel::number_of_lines,MMethod,accessor,prop_accessor,,,
ios::UILabel::minimum_scale_factor,MMethod,accessor,prop_accessor,,,
ios::UILabel::preferred_max_layout_width,MMethod,accessor,prop_accessor,,,
ios::UILabel::adjusts_font_size_to_fit_width,MMethod,accessor,prop_accessor,,,
ios::UILabel::text_color,MMethod,accessor,prop_accessor,,,
ios::UILabel::text_color=,MMethod,mutator,prop_mutator,,,
ios::UILabel::shadow_color,MMethod,accessor,prop_accessor,,,
